,ibns_20u,vgs_m1,name,type,time,OK
0,-5.0,1.0,tran_SchGtKfsTlVt,Sch,Mon Jan 20 15:42:58 2025,False
1,-5.0,1.0,tran_SchGtKsfTlVt,Sch,Mon Jan 20 15:42:57 2025,False
2,-5.0,1.0,tran_SchGtKffTlVt,Sch,Mon Jan 20 15:42:55 2025,False
3,-5.0,1.0,tran_SchGtKssTlVt,Sch,Mon Jan 20 15:42:54 2025,False
4,-5.0,1.0,tran_SchGtKfsThVt,Sch,Mon Jan 20 15:42:52 2025,False
5,-5.0,1.0,tran_SchGtKsfThVt,Sch,Mon Jan 20 15:42:51 2025,False
6,-5.0,1.0,tran_SchGtKffThVt,Sch,Mon Jan 20 15:42:49 2025,False
7,-5.0,1.0,tran_SchGtKssThVt,Sch,Mon Jan 20 15:42:47 2025,False
